Профессор: a, дисциплина: mat, аудитория № 1, группа № 0, пара №1, день недели: ПН
Профессор: a, дисциплина: mat, аудитория № 1, группа № 0, пара №2, день недели: ПН
Профессор: a, дисциплина: mat, аудитория № 1, группа № 0, пара №3, день недели: ПН
Профессор: a, дисциплина: mat, аудитория № 1, группа № 1, пара №4, день недели: ПН
Профессор: a, дисциплина: mat, аудитория № 1, группа № 1, пара №5, день недели: ПН
Профессор: a, дисциплина: mat, аудитория № 1, группа № 1, пара №6, день недели: ПН
Профессор: a, дисциплина: mat, аудитория № 1, группа № 2, пара №1, день недели: ВТ
Профессор: a, дисциплина: mat, аудитория № 1, группа № 2, пара №2, день недели: ВТ
Профессор: a, дисциплина: mat, аудитория № 1, группа № 2, пара №3, день недели: ВТ



























